PLANIFICACIÓN;Horas_Patron;FAMILIA;TAMAÃ‘O
R-QP05-24 Authorization for the release of the solutions;1.0;DH;2u-4u
EMBALAJE;24.0;DH;2u-4u
TRABAJOS PREVIOS MECANICOS;10.0;DH;5u-8u
CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;87.0;DH;5u-8u
NIVELACION;8.0;DH;5u-8u
INSTALACION CARRILES DE SOPORTACION;73.0;DH;5u-8u
INSTALACION DE BANDEJAS;75.0;DH;5u-8u
MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;41.0;DH;5u-8u
EQUIPOS;;DH;5u-8u
INTRODUCCION/FIJACION de EQUIPOS;77.0;DH;5u-8u
ENSAMBLAJE DE CUADROS CUADRISTA;27.0;DH;5u-8u
ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);22.0;DH;5u-8u
CADENAS PORTACABLES;8.0;DH;5u-8u
INSTALACION DE SUELO;29.0;DH;5u-8u
PANELADO;72.0;DH;5u-8u
MODIFICACIONES EN PANEL;;DH;5u-8u
R-QP05-12 Pre-Installation of doors;1.0;DH;5u-8u
INSTALACION  DE PUERTAS;25.0;DH;5u-8u
INSTALACION ROXTEC;21.0;DH;5u-8u
INSTALACION DE ELEMENTOS Y/O EQUIPOS;22.0;DH;5u-8u
CERRAMIENTO DE ALUMINIO;107.0;DH;5u-8u
PERFILERIA EXTERIOR;50.0;DH;5u-8u
R-QP05-28 Prefabricated Module Roof Inspection;1.0;DH;5u-8u
CORTE Y/O PREPARACION DE CABLE;45.0;DH;5u-8u
MECANIZADO DE ELEMENTOS DE INSTALACION ELECTRICA;30.0;DH;5u-8u
SISTEMA DE TIERRAS;36.0;DH;5u-8u
SISTEMA DE ILUMINACION/EMERGENCIAS;36.0;DH;5u-8u
CABLEADO Y CONEXIONADO POTENCIA;;DH;5u-8u
INSTALACION DE CABLE;52.0;DH;5u-8u
CONEXIONADO DE EQUIPOS;200.0;DH;5u-8u
ETIQUETADO DE CABLE Y EQUIPOS;35.0;DH;5u-8u
INSTALACION DE MEDIA TENSION;;DH;5u-8u
TRANSFORMADOR;0.0;DH;5u-8u
TRABAJOS DE MEDIA TENSION;0.0;DH;5u-8u
TRABAJOS DE BT EN MT;0.0;DH;5u-8u
PRUEBAS DE MEDIA TENSION;0.0;DH;5u-8u
SISTEMA DE MONITORIZACION;;DH;5u-8u
MONTAJE DE EQUIPOS DE MONITORIZACION;35.0;DH;5u-8u
INSTALACION DE SENALES;50.0;DH;5u-8u
INSTALACION DE UTP;15.0;DH;5u-8u
R-QP05-16 Acceptance of Installations. Monitoring;1.0;DH;5u-8u
CONTROL DE ACCESO;17.0;DH;5u-8u
PRUEBAS ELECTRICAS PRODUCCION;;DH;5u-8u
RECOLECCION DE NUMEROS DE SERIE;;DH;5u-8u
PRUEBAS ELECTRICAS SIN TENSION;22.0;DH;5u-8u
TORQUEO;25.0;DH;5u-8u
R-QP05-11 Acceptance of Installations. Electrical;3.0;DH;5u-8u
R-QP05-40 Acceptance of Torque;3.0;DH;5u-8u
R-QP07-08 BCF Factory Power Energization Authorization;3.0;DH;5u-8u
PRUEBAS ELECTRICAS CON TENSION ;40.0;DH;5u-8u
SOPORTE A COMMISSIONING;20.0;DH;5u-8u
TRABAJOS DE INSTALACION PCI;27.0;DH;5u-8u
REALIZACION DE PRUEBAS PCI;8.0;DH;5u-8u
R-QP05-27 Door Fan Test;1.0;DH;5u-8u
R-QP05-04 Acceptance of Installations. FSS;1.0;DH;5u-8u
R-QP05-18 Acceptance of Installations. Assembly;3.0;DH;5u-8u
MONTAJE DE TUBERIAS;26.0;DH;5u-8u
TRABAJOS DE CONEXIONADO Y VALVULERIA;19.0;DH;5u-8u
TRABAJOS DE FORRADO DE TUBERIAS;6.0;DH;5u-8u
REALIZACION DE PRUEBAS COOLING;15.0;DH;5u-8u
R-QP05-05 Acceptance of Installations. Cooling;1.0;DH;5u-8u
TRASLADO Y UBICACION EN ZONA CX;8.0;DH;5u-8u
TESTEO Cx;45.0;DH;5u-8u
UPS START UP;;DH;5u-8u
FAT/FOK/Witness test;;DH;5u-8u
TRASLADO Y UBICACION EN ZONA PRODUCCION.;8.0;DH;5u-8u
MODIFICACIONES FAT/FOK/WITNESS TEST ;30.0;DH;5u-8u
R-QP05-03 QC 100% MDC;1.0;DH;5u-8u
DESENSAMBLAJE INSTALACION ELECTRICA;0.0;DH;5u-8u
DESENSAMBLAJE INSTALACION MECANICA;0.0;DH;5u-8u
LIMPIEZA FINAL CUADROS;15.0;DH;5u-8u
R-QP05-29 Outgoing electrical panel visual inspection;2.0;DH;5u-8u
CIERRE DE CUADROS Y PENDIENTES ELECTRICOS;11.0;DH;5u-8u
CIERRE DE CUADROS Y PENDIENTES MECANICOS;37.0;DH;5u-8u
LIMPIEZA FINAL;19.0;DH;5u-8u
REPASOS DE PINTURA;10.0;DH;5u-8u
R-QP05-02 Pre Shipment Inspection MDC;2.0;DH;5u-8u
R-QP05-24 Authorization for the release of the solutions;1.0;DH;5u-8u
EMBALAJE;24.0;DH;5u-8u
TRABAJOS PREVIOS MECANICOS;10.0;PM;20' - 45'
CORTE Y ENSAMBLAJE DE CARRILES Y BANDEJAS;68.0;PM;20' - 45'
NIVELACION;7.0;PM;20' - 45'
INSTALACION CARRILES DE SOPORTACION;69.0;PM;20' - 45'
INSTALACION DE BANDEJAS;90.0;PM;20' - 45'
MECANIZADO DE ELEMENTOS DE INSTALACION MECANICA;27.0;PM;20' - 45'
EQUIPOS;;PM;20' - 45'
INTRODUCCION/FIJACION de EQUIPOS;140.0;PM;20' - 45'
ENSAMBLAJE DE CUADROS CUADRISTA;27.0;PM;20' - 45'
ENSAMBLAJE DE EQUIPOS (CUADRO PRINCIPAL Y UPS);16.0;PM;20' - 45'
CADENAS PORTACABLES;8.0;PM;20' - 45'
